id,lat1,lon1,lat2,lon2,lat_center,lon_center,score_prix,score_hopitaux,score_practicien,score_metro,score_parking,score_final
361,45.705757,4.7489550000000005,45.708757,4.753455000000001,45.707257,4.751205000000001,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
364,45.705757,4.762455,45.708757,4.766955,45.707257,4.764705,0.44390127152613246,0,0.0,0.0,0.0,0.19531655947149829
368,45.705757,4.780455,45.708757,4.784955,45.707257,4.782705,0.2962683928536712,0,0.0,0.0,0.0,0.1303580928556153
369,45.705757,4.784955,45.708757,4.789455,45.707257,4.787205,0.4231932688101346,0,0.0,0.0,0.0,0.18620503827645923
370,45.705757,4.789455,45.708757,4.793955,45.707257,4.791705,0.4153879558574482,0,0.0,0.0,0.0,0.1827707005772772
371,45.705757,4.793955,45.708757,4.798455000000001,45.707257,4.7962050000000005,0.4482105325567375,0,0.0,0.0,0.0,0.1972126343249645
372,45.705757,4.798455000000001,45.708757,4.802955000000001,45.707257,4.800705000000001,0.5154994721015266,0,0.0,0.0,0.0,0.2268197677246717
373,45.705757,4.802955000000001,45.708757,4.807455000000001,45.707257,4.805205000000001,0.33534589810381155,0,0.0,0.0,0.0,0.14755219516567708
374,45.705757,4.807455,45.708757,4.811955,45.707257,4.809705,0.270773692228111,0,0.0,0.0,0.0,0.11914042458036883
375,45.705757,4.811955,45.708757,4.816455,45.707257,4.814205,0.5694246258660627,0,0.0,0.0,0.0,0.2505468353810676
376,45.705757,4.816455,45.708757,4.8209550000000005,45.707257,4.8187050000000005,0.5041838371269591,0,0.0,0.0,0.0,0.22184088833586202
377,45.705757,4.8209550000000005,45.708757,4.825455000000001,45.707257,4.823205000000001,0.5851299280044274,0,0.0,0.0,0.0,0.25745716832194804
384,45.705757,4.852455,45.708757,4.856955,45.707257,4.854705,0.7512238856815396,0,0.0,0.0,0.0,0.3305385096998774
385,45.705757,4.856955,45.708757,4.861455,45.707257,4.859205,0.6847381708669185,0,0.0,0.0,0.0,0.30128479518144413
386,45.705757,4.861455,45.708757,4.8659550000000005,45.707257,4.863705,0.6027616173713369,0,0.0,0.0,0.0,0.26521511164338823
387,45.705757,4.8659550000000005,45.708757,4.870455000000001,45.707257,4.868205000000001,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
390,45.705757,4.879455,45.708757,4.883955,45.707257,4.881705,0.41309898184740795,0,0.0,0.0,0.0,0.18176355201285951
391,45.705757,4.883955,45.708757,4.888455,45.707257,4.886205,0.46602323780327626,0,0.0,0.06666666666666667,0.0,0.21505022463344153
394,45.705757,4.897455,45.708757,4.901955,45.707257,4.899705,0.2702499986136892,0,0.0,0.0,0.0,0.11890999939002325
395,45.705757,4.901955,45.708757,4.906455,45.707257,4.904205,0.350103824843236,0,0.0,0.0,0.0,0.15404568293102383
398,45.705757,4.915455000000001,45.708757,4.919955000000001,45.707257,4.917705000000001,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
399,45.705757,4.919955,45.708757,4.924455,45.707257,4.922205,0.49181542512041926,0,0.0,0.0,0.0,0.21639878705298446
401,45.705757,4.928955,45.708757,4.933455,45.707257,4.931205,0.5934503173261391,0,0.0,0.0,0.0,0.26111813962350117
402,45.705757,4.933455,45.708757,4.9379550000000005,45.707257,4.9357050000000005,0.4249580815798953,0,0.0,0.0,0.0,0.18698155589515392
403,45.705757,4.9379550000000005,45.708757,4.942455000000001,45.707257,4.940205000000001,0.3632654387569476,0,0.0,0.0,0.0,0.15983679305305695
404,45.705757,4.942455000000001,45.708757,4.946955000000001,45.707257,4.944705000000001,0.39699275363884345,0,0.0,0.0,0.0,0.17467681160109114
411,45.705757,4.973955,45.708757,4.978455,45.707257,4.976205,0.3054103227333935,0,0.0,0.0,0.0,0.13438054200269314
412,45.705757,4.978455,45.708757,4.9829550000000005,45.707257,4.980705,0.42807349909969283,0,0.0,0.0,0.0,0.18835233960386485
420,45.708757,4.744455,45.711757,4.7489550000000005,45.710257,4.746705,0.3956530573623017,0,0.0,0.0,0.0,0.17408734523941277
421,45.708757,4.7489550000000005,45.711757,4.753455000000001,45.710257,4.751205000000001,0.3784797522632769,0,0.0,0.0,0.0,0.16653109099584185
422,45.708757,4.753455000000001,45.711757,4.757955000000001,45.710257,4.755705000000001,0.3501463949089824,0,0.0,0.0,0.0,0.15406441375995228
423,45.708757,4.757955,45.711757,4.762455,45.710257,4.760205,0.2525304237436857,0,0.0,0.0,0.0,0.11111338644722168
425,45.708757,4.766955,45.711757,4.7714550000000004,45.710257,4.769205,0.35326086956521735,0,0.0,0.0,0.0,0.15543478260869562
429,45.708757,4.784955,45.711757,4.789455,45.710257,4.787205,0.44302762414013186,0,0.0,0.0,0.0,0.194932154621658
430,45.708757,4.789455,45.711757,4.793955,45.710257,4.791705,0.5270607381422974,0,0.0,0.0,0.0,0.23190672478261085
431,45.708757,4.793955,45.711757,4.798455000000001,45.710257,4.7962050000000005,0.5586660427897422,0,0.0,0.0,0.0,0.24581305882748655
