valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,surface_terrain,longitude,latitude,prix_du_m_carre
587700.00,69970,Marennes,Maison,155.00,655.00,4.8965170,45.6135530,3791.6129032258063
365000.00,69440,Mornant,Maison,90.00,248.00,4.6731630,45.6136200,4055.5555555555557
460000.00,69440,Mornant,Maison,122.00,550.00,4.6741440,45.6137470,3770.4918032786886
450000.00,69440,Mornant,Maison,91.00,527.00,4.6800860,45.6141480,4945.054945054945
316500.00,69520,Grigny,Maison,150.00,541.00,4.7961070,45.6143390,2110.0
313300.00,69700,Beauvallon,Maison,120.00,225.00,4.7048480,45.6148030,2610.8333333333335
215000.00,69520,Grigny,Maison,82.00,210.00,4.8003050,45.6149960,2621.951219512195
781250.00,69440,Mornant,Maison,210.00,2437.00,4.6697800,45.6150750,3720.2380952380954
585000.00,69440,Mornant,Maison,124.00,519.00,4.6786580,45.6151730,4717.741935483871
312600.00,69520,Grigny,Maison,84.00,587.00,4.7974180,45.6153810,3721.4285714285716
190000.00,69440,Mornant,Appartement,52.00,,4.6726910,45.6156860,3653.846153846154
769000.00,69440,Mornant,Maison,66.00,1157.00,4.6578820,45.6158120,11651.515151515152
183800.00,69590,Coise,Maison,120.00,1116.00,4.4723050,45.6158700,1531.6666666666667
316000.00,69360,Simandres,Maison,68.00,1234.00,4.8821200,45.6159270,4647.058823529412
560000.00,69440,Mornant,Maison,133.00,396.00,4.6723250,45.6159530,4210.526315789473
170000.00,69440,Mornant,Appartement,40.00,,4.6738080,45.6161810,4250.0
650000.00,69440,Mornant,Maison,120.00,543.00,4.6798390,45.6162380,5416.666666666667
373600.00,69440,Mornant,Maison,89.00,,4.6766850,45.6166740,4197.752808988764
646000.00,69360,Simandres,Maison,113.00,1060.00,4.8780790,45.6169220,5716.814159292036
580040.00,69700,Montagny,Maison,122.00,563.00,4.7502230,45.6171990,4754.426229508197
173550.00,69440,Mornant,Appartement,44.00,,4.6729590,45.6172740,3944.318181818182
290574.00,69440,Mornant,Appartement,87.00,,4.6767920,45.6173010,3339.9310344827586
349000.00,69440,Mornant,Maison,75.00,638.00,4.6753270,45.6173060,4653.333333333333
245000.00,69440,Mornant,Appartement,70.00,,4.6796140,45.6173750,3500.0
